Time stamp,IMSI,Cell ID,RNTI,RSRP,SINR,CQI
+21214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+22214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+23214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+24214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+25214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+26214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+27214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+28214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+29214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+30214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+31214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+32214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+33214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+34214285ns,1,1,1,2.1067793515412512e-12,3888.2053369882315,15
+35214285ns,1,1,1,2.1067793515412512e-12,3888.2053369882315,15
+36214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+37214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+38214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+39214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+40214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+41214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+42214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+43214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+44214285ns,1,1,1,2.1067793515412512e-12,3888.2053369882315,15
+45214285ns,1,1,1,2.1067793515412512e-12,3888.2053369882315,13
+46214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,13
+47214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,13
+48214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
+49214285ns,1,1,1,2.1067793515412512e-12,4442.2522864052316,15
